Privacy Shell,https://angel.co/privacy-shell,Startup Factory,7,Feb ’17
Factom Foundation,https://angel.co/factom-foundation,A General Purpose Data Layer For The Blockchain,73,Mar ’15
Authenticiti,https://angel.co/authenticiti,Enterprise-grade blockchain infrastructure,22,Apr ’17
Augmentors,https://angel.co/augmentors-1,Bitcoin Blockchain Augmented Reality Game,6,Jul ’17
Trammell Ventures,https://angel.co/trammell-ventures,Investing in strong teams with great ideas and a clear ability to execute.,9,Jul ’16
Edge (formerly Airbitz),https://angel.co/edgesecure,Edge Security Platform for Bitcoin & Digital Assets,121,Apr ’14
bitFlyer,https://angel.co/bitflyer,Japan's #1 Bitcoin and blockchain company!,83,Sep ’14
The Sun Exchange,https://angel.co/the-sun-exchange,"Solar energy crowd-selling marketplace on blockchain, streaming monetized sunlight.",18,Jun ’16
Rivetz,https://angel.co/rivetz,The decentralized & hardware-based cybersecurity ecosystem.,42,Oct ’17
Luno,https://angel.co/lunomoney,"Cryptocurrency for everyone, everywhere",133,May ’13
meXBT,https://angel.co/mexbt-1,Facilitating International payments for SME's in emerging economies,58,Mar ’14
Hands.AI,https://angel.co/hands_ai,MONETIZING THE TIME,21,Oct ’16
Passfolio,https://angel.co/passfolio,,33,Jul ’17
CoinLaunch,https://angel.co/coinlaunch,ICO-as-a-Service (Initial Coin Offering Platform),16,Jun ’17
Volt Markets,https://angel.co/voltmarkets,Secure and transparent energy and energy attribute trading platform.,21,Aug ’16
Loyyal,https://angel.co/loyyal,The Internet of Loyalty™,101,Apr ’14
MakerDAO,https://angel.co/makerdao,Stability for the Blockchain,40,Sep ’17
Revelry,https://angel.co/revelry,Digital Innovation Lab,43,May ’13
Otonomos,https://angel.co/otonomos,"A simpler way to incorporate your company, manage your shareholders and govern your board.",171,Jul ’14
Seventh.ai,https://angel.co/nventi-1,A turbotax for provisional patents.,31,Sep ’14
Token Report,https://angel.co/token-report,The first place in the world for data on ICOs,57,Jun ’17
Atana,https://angel.co/atana,Verifying and securing the world's information,6,Jul ’17
Topl,https://angel.co/topl,open protocol for economic development around the world,16,Sep ’16
Interstellar,https://angel.co/go_interstellar,Creating technologies for the Stellar Network,11,May ’18
SeriesX,https://angel.co/seriesx-1,Security Token Structuring as a Service,46,Apr ’17
ConsenSys,https://angel.co/consensys,Blockchain Production Studio & Consultancy,2341,Jan ’15
Mineful,https://angel.co/mineful,Stripe for Cryptocurrency Mining,45,Jul ’18
Unbank.Ventures,https://angel.co/unbank-ventures,The FinTech Incubator,29,Jul ’16
Modular Commerce,https://angel.co/modularcommerce,Modular Cloud ERP for Traditional and Blockchain E-Business,5,Mar ’18
SupPorter,https://angel.co/supporter-inc,"Blockchain Enabled ""Smart"" Donation Processing System",3,Sep ’18
TaoBase.com,https://angel.co/taobase_ebiztie,Connecting to a world of talent & entrepreneurs. Join us at were new businesses thrive.,19,Mar ’15
The ClearingPoint,https://angel.co/the-clearingpoint,International Payments between China & Latin America made easy,5,May ’17
Clause,https://angel.co/clause,Connected Contracting,88,Jun ’16
DADA,https://angel.co/dada-2,The world’s visual conversation network with a digital art marketplace on the Blockchain.,28,Apr ’15
Coinigy,https://angel.co/coinigy,Blockchain Market Intelligence,67,Jun ’14
Tokken,https://angel.co/tokken,Dismantling conventional payments one tokken at a time,28,Apr ’16
Loyakk,https://angel.co/loyakk,Blockchain-powered enterprise relationship management platform,32,Dec ’12
SCORECHAIN,https://angel.co/scorechain,"Regulation, Compliance and CRM for Bitcoin",21,May ’15
Monarc,https://angel.co/monarc,First-Person Economy empowerment tools for advanced Internet users,8,Jan ’16
WeTrust,https://angel.co/wetrust,Finance based on social capital and trust networks.,39,Nov ’16
vAtomic Systems,https://angel.co/vatomic-systems,Dissolving the boundaries between bits and atoms,63,Oct ’16
AvatarTrader,https://angel.co/avatartrader,Paypal for MMOG Avatar Trading.,31,Jul ’11
Eximchain,https://angel.co/eximchain,"Eximchain enables businesses to connect, transact, and share information more efficiently.",21,May ’16
Boro,https://angel.co/boro,Discover amazing products wherever you go — or rent out your own!,9,Apr ’15
MyDocSafe.com,https://angel.co/docsafe,Secure client onboarding for professional services firms.,10,Jun ’14
TLC Secure,https://angel.co/tlc-secure,"Secure Blockchains, cryptocurrencies and IoT",31,Jun ’11
Trive.news,https://angel.co/trive-kill-fakenews,Trive kills fake news with crowds and crypto.,40,Jan ’17
Accord Project,https://angel.co/accordproject,The open source consortium for smart legal contracts,10,Jul ’17
Slingo,https://angel.co/slingosf,ai-powered assistant for restaurants,21,May ’17
Blockchain Education Network,https://angel.co/blockchainedu,Grassroots Blockchain Education Movement,70,May ’14
Machine Elf Consulting,https://angel.co/machine-elf-consulting-and-development,Machine Elf Consulting is a new breed of business advisement and consultancy services.,1,Sep ’14
String Labs,https://angel.co/string-labs,Open Protocol Production Studio,16,Sep ’16
Coinsilium Group,https://angel.co/coinsilium,,21,Oct ’15
Ad Meliora,https://angel.co/ad-meliora,Develop fintech system with blockchain/dlt backbone,12,Mar ’17
FOAM,https://angel.co/foam_protocol,Blockchain Proof of Location Protocol,67,Nov ’16
Bluzelle,https://angel.co/bluzelle-1,The Oracle Systems for Blockchain,12,Jun ’17
Ascribd,https://angel.co/ascribd,We make sales tax compliance as easy as sending an email.,10,Jun ’15
Degree of Privacy,https://angel.co/degree-of-trust,Online Digital Degree Verification,3,Nov ’12
Lyceum,https://angel.co/uni-7,Radically improving the economics of education.,23,Jul ’17
MakeCents,https://angel.co/makecents,"The Future of Payments, Decentralized",29,Jun ’17
RealBlocks,https://angel.co/realblocks,Leveraging the Blockchain for Real Estate Capital Markets,34,Apr ’16
Blockchain Innovation Group,https://angel.co/blockchain-innovation-group,Concept Stage Startup Management : Think BIG !,12,May ’15
COINCUBE,https://angel.co/coincube,Blockchain Wealth Management,31,May ’15
DeepSee - Blockchain A.I startup,https://angel.co/deepsee-io,"Social content aggregation, verification, and monetization powered by A.I. and Blockchain",25,Feb ’17
EVVEMI,https://angel.co/evvemi,"Precision and transparency for personalized, healthy beauty",32,May ’18
Clyk,https://angel.co/clyk,Facebook for Creativity,4,Apr ’17
OKCoin,https://angel.co/okcoin,World leading digital asset exchange,35,Jul ’16
ChainLink,https://angel.co/chainlink-1,tamper-proof digital certificates of title & authenticity,24,Jun ’15
CryptaMail,https://angel.co/cryptamail,Secure Blockchain-based Webmail,7,Jun ’14
MLG Blockchain,https://angel.co/mlg-blockchain,,99,Jul ’17
Magic. In Bits,https://angel.co/magic-in-bits,Intelligent security for the blockchain,28,Aug ’15
The SAFE App,https://angel.co/safegroup,Show your verified std status on your phone and check the status of your partners,65,Feb ’17
"Patientory, Inc.",https://angel.co/patientory,Global population health management software that gives users access to their health data.,37,Nov ’15
CertiCert,https://angel.co/certicert,Validating Internet Infrastructure,2,Dec ’15
Myze Financial,https://angel.co/myze-financial,,6,Aug ’17
We Carpool Blockchain @YCobinatorSS17,https://angel.co/we-carpool-inc,"Brand new, always round-trip carpool service to fun, local public events.",97,Feb ’13
Mothership,https://angel.co/mothershipcx,Cryptocurrency exchange and token market,58,Jun ’17
Suredbits,https://angel.co/suredbits,iTunes for data feeds,10,Dec ’16
SatoshiPay,https://angel.co/satoshipay,Pocket change for the web,46,Aug ’14
Kaiko,https://angel.co/kaiko,Digital Assets Trading Data,21,Nov ’15
Intrepid Technology,https://angel.co/intrepidtechnology,Global Technology Company,95,Mar ’17
BlockEx,https://angel.co/blockex,Digital Asset Exchange Platform,60,Nov ’15
SimplyVital Health,https://angel.co/simplyvital-health,Building Health Nexus: the healthcare-safe blockchain protocol,39,Jul ’16
uPort,https://angel.co/uport,Self-sovereign identity platform built using Ethereum. Your passport to Web 3.0.,162,Aug ’16
Shakepay,https://angel.co/shakepay,The easiest way for Canadians to buy and sell bitcoin,54,Mar ’16
Symbiont,https://angel.co/symbiont,"Smart Securities, Intelligent Markets",75,Mar ’15
Fuzo,https://angel.co/fuzo,Mass Adoption FinTech Platform - Blockchains as a Service -,32,Oct ’14
Safe Cash,https://angel.co/safe-cash,Secure Digital Payments,5,Aug ’15
Blockchain Angels,https://angel.co/blockchain-angels,The world's largest blockchain investor network,83,Dec ’17
UBITQUITY,https://angel.co/ubitquity,The first blockchain-secured platform for real estate recordkeeping,67,Feb ’15
Proffer,https://angel.co/proffernetwork,A blockchain protocol for search with expert networks,9,Jun ’17
Ambisafe,https://angel.co/ambisafe,We eat smart contracts for breakfast,61,Feb ’15
PopChest,https://angel.co/popchest,"Decentralized video distribution…think ""YouTube on the Blockchain"".",34,May ’15
CoinFund,https://angel.co/coinfund,"Cryptoasset investor since July 1st, 2015.",25,Sep ’17
Merchant Wealth,https://angel.co/merchantwealth,What if there was a new way to value the concept of a modern Blockchain market for design?,14,May ’17
Multicoin Capital,https://angel.co/multicoin-capital,Crypto hedge fund,157,Jul ’17
The Hacker Firm,https://angel.co/the-hacker-firm,Development studio,3,May ’16
TRATO,https://angel.co/trato,"Contracts with Technology (Blockchain, Big Data, Artificial Intelligence)",24,Aug ’14
Trustless Privacy,https://angel.co/trustless-privacy,Privacy everywhere. Modern protection for health data.,20,May ’15
CRE Simple,https://angel.co/cre-simple,Intelligent lending for commercial real estate.,8,May ’17
The Decentralized Library of Alexandria,https://angel.co/dloa,Putting content creators in control of their distribution and monetization,84,Jul ’14
Kleros,https://angel.co/kleros,A justice system for the internet age,58,Jun ’17
Instalocate,https://angel.co/instalocate,AI powered personal travel assistant to make your travel worry free,40,Mar ’17
Elemential Labs,https://angel.co/elemential-labs,Developing decentralized systems and blockchain developer tools,34,Feb ’17
CoinBeyond,https://angel.co/coinbeyond,Digital payments for human people.,54,Mar ’14
Yours,https://angel.co/yoursnetwork,Getting people paid for creating and curating good content.,22,Oct ’16
Clipperz,https://angel.co/clipperz,Protect and manage intellectual property on the blockchain,29,Oct ’11
WINGS DAO,https://angel.co/wings-dao,"Due Diligence, Valuation, Crowdfunding & Decisions as Incentivized Blockchain Services.",10,Jul ’16
Globals,https://angel.co/globals,"Enterprise Cloud & Blockchain solutions for K-12, Government and Retail Industries",8,Mar ’14
AI8 VENTURES,https://angel.co/ai8-ventures,We partner early with early stage startups to help them scale.,3,Aug ’17
Votebox,https://angel.co/votebox,Cutting edge internet voting and governance solutions for the public and private sectors.,5,Mar ’17
OTDocs (Open Trade Docs),https://angel.co/otdocs-open-trade-docs,Blockchain Document Management for Supply Chain and Trade Finance,5,Jun ’16
Medblocs,https://angel.co/yourhealthwallet,Accelerate Clinical trials with AI & Blockchain technologies,16,Feb ’17
Cognate,https://angel.co/cognate-1,Democratizing trademark protection using blockchain technology.,12,Feb ’17
Nametag,https://angel.co/nametag-1,Private conversations about ideas that matter,7,Feb ’17
EarthBenign,https://angel.co/earthbenign,Private money you can mint yourself,46,Feb ’13
Blockchain University,https://angel.co/blockchain-university-1,Tech education spurring blockchain projects,19,Oct ’15
HealthCombix,https://angel.co/healthcombix,Decentralized Healthcare Network Platform,9,Aug ’16
Giga Watt,https://angel.co/giga-watt,Bitcoin/Altcoin mines funded by selling a crypto token backed by power infrastructure.,2,Apr ’17
YUVIDIGITAL,https://angel.co/yuvi-digital-marketing,"Blockchain, AI, Growth Hacking",14,Jun ’15
VARcrypt,https://angel.co/varcrypt,VR/AR blockchain enabled global content distribution,9,Sep ’16
Ribbon,https://angel.co/ribbon-1,"Shop like normal, control the company",3,Oct ’16
The NewsCoin,https://angel.co/the-newscoin,Directly monetizing a newspaper's pageviews,12,Apr ’16
Learning Machine,https://angel.co/learning-machine-2,Verifiable Claims,17,Jan ’14
Block Chain Space,https://angel.co/blockchainspace,Blockchain startup accelerator,23,Oct ’15
DFINITY,https://angel.co/dfinity,"An unbounded, performant, self-governing blockchain computer",42,Aug ’17
Everpass,https://angel.co/everpass,Instant simple and secure authentications and authorizations everywhere,8,Oct ’14
Second Studio,https://angel.co/second-studio,A Virtual Workplace for Professionals,14,Apr ’16
Agua AI,https://angel.co/fluidai,Automating Software QA starting with Smart Contracts,21,Apr ’17
BlockApps,https://angel.co/blockapps,Blockchain Application Platform,25,Jan ’17
Veratrak,https://angel.co/veratrak,Transforming how the pharma supply chain collaborates to deliver safe and affordable drugs,9,Aug ’17
Caprica,https://angel.co/caprica,"Decentralized, secure marketplace for digital items.",10,May ’15
Miner Disruption,https://angel.co/miner-disruption,Genesis/China/Russia Mining Disruption,8,May ’17
BitcoinAgile,https://angel.co/bitcoinagile,,1,Jan ’16
AgriLedger,https://angel.co/agriledger,Cryptoledger for small farmer cooperatives,11,May ’16
Bitoverflow,https://angel.co/bitoverflow,Dedicated end-to-end crypto development,2,Jul ’17
Codexo,https://angel.co/codexo,Your Contracts as Smart Data,3,Jul ’16
BrandsHub,https://angel.co/brandshub,,6,Mar ’16
Reasi,https://angel.co/reasi,Digitizing Home Buying on the Blockchain,23,May ’16
UF Bitcoin Club,https://angel.co/uf-bitcoin-club,,2,Sep ’16
Gradbase,https://angel.co/gradbase-1,Gradbase is an instantaneous verification service for records,4,Apr ’17
CUaround,https://angel.co/cuaround,App development agency,18,Feb ’15
PayBack,https://angel.co/payback-2,b2b blockchain for financing,4,Aug ’18
QuickBlocks.io,https://angel.co/quickblocks-io,Automated monitoring/analysis websites for any Ethereum address especially smart contracts,4,Sep ’16
Bitit,https://angel.co/bitit,Bitcoin Purchases Made Easy,5,May ’15
Hexagon Capital,https://angel.co/hexagon-capital,Using blockchain technology for automated wealth management,6,Sep ’15
Paycer,https://angel.co/paycer,Automated Revenue Share Accounts,3,Jul ’16
Zinc,https://angel.co/zinc_work,Zinc creates a transparent and authenticated work identity & reputation system.,11,Aug ’17
Big &amp; Co.,https://angel.co/bigandco,Full-Service Digital Agency,2,Nov ’15
Wine Trade Network,https://angel.co/wine-trade-network,Applying blockchain application to authenticate what is in the bottle,3,Feb ’17
AdventureCorporation,https://angel.co/adventurecorporation,"Immersive + Decentralized Computing, Blockchain",41,Jun ’17
PopfireCapital,https://angel.co/popfirecapital,Creating new ecosystem for Banks,3,May ’17
StaTwig,https://angel.co/statwig-technology-services,,17,Aug ’16
Aballoon,https://angel.co/aballoon,Music collaboration platform where artists & fans collaborate and create songs together.,11,May ’16
Rebel AI,https://angel.co/rebel-ai,We bring security to programmatic media trading,11,Apr ’17
Moneytis (YCombinator W17),https://angel.co/moneytis,the cheapest way to send money between 2 countries,34,Mar ’15
Kabuni,https://angel.co/kabuni,Ideas On Demand,37,Apr ’14
ulaHealth,https://angel.co/ulahealth,Blockchain + Healthcare & Incentives for Behavior Modification,2,Sep ’17
Qokka,https://angel.co/qokka,scale up language understanding,7,Aug ’17
Slock.it,https://angel.co/slockit,Blockchain Infrastructure for the Sharing Economy,66,Dec ’15
Immutable Solutions,https://angel.co/immutable-solutions,Burgeoning profits by implementing the Blockchain and Artificial intelligence,1,Jan ’16
Realm Labs,https://angel.co/realm-consulting,,8,Oct ’16
FunderGrowth,https://angel.co/fundergrowth,Equity Crowdfunding on Blockchain,3,Sep ’16
DApperNetwork,https://angel.co/dappernetwork,Global Blockchain Developer Education Provider,7,Mar ’17
Rocky Mountain Technical Marketing,https://angel.co/rocky-mountain-technical-marketing,We develop high-value solutions to make the world safer.,1,Jul ’16
Propellr,https://angel.co/propellr-1,"A creation, management, and servicing platform for digitally held assets",5,Feb ’16
Minebox,https://angel.co/minebox,Dropbox & Bitcoin in a box,14,Aug ’16
TRXNHUB,https://angel.co/trxnhub,On-demand blockchain transaction assurance & protection,9,May ’17
Shikapa,https://angel.co/shikapa,Using Blockchain Technology to Empower the Students of Africa,8,Oct ’16
Naspers Ventures,https://angel.co/naspers-ventures,We invest in entrepreneurs to build leading technology companies in high-growth markets,15,Jan ’18
NewCo,https://angel.co/newco-51,in stealth,2,Nov ’16
Feedz,https://angel.co/feedz,A live-reporting platform.,14,Mar ’15
Blockvue,https://angel.co/blockvue-1,Palantir for blockchain,47,May ’14
SingularDTV,https://angel.co/singulardtv,Blockchain Entertainment Studio & Tokenized Ecosystem,25,Jul ’16
RightsBlock,https://angel.co/rightsblock,RightsBlock is BlockChain Secured Digital Asset Registration and Management for Creatives,5,Apr ’16
Blockchain Innovation Labs,https://angel.co/blockchain-innovation-labs,Blockchain Proxy Voting,10,Jun ’16
Stratumn,https://angel.co/stratumn,We build products using the blockchain and our Proof of Process technology,44,Oct ’15
YouBase,https://angel.co/youbase,"Easier to build Dapps, better digital experiences with self-sovereign data.",20,Sep ’16
Blocksafe Holdings,https://angel.co/blocksafeholdings,Blocksafe™ is using blockchain as part of its IoT network stack.,58,Apr ’14
